location,time_step,loss_of_load
NED,423,140.60547999998198
NED,424,4359.463209999995
NED,425,6741.55599
NED,426,8412.04467
NED,427,8501.02405
NED,428,7638.270439999999
NED,429,7084.620950000001
NED,430,7872.532279999999
NED,431,8564.64258
NED,432,7660.01886
NED,433,6291.219879999999
NED,434,2924.8848199999993
NED,435,351.9982199999995
NED,440,3130.03435
NED,441,3895.583849999981
NED,442,1129.6879799999397
NED,443,2334.5323099999314
NED,444,4807.810669999923
NED,445,8367.232309999934
NED,446,9925.394169999949
NED,447,12183.165299999968
NED,448,12362.726129999988
NED,449,13462.8086
BEL,450,223.60354000000007
NED,450,16671.35397
BEL,451,467.10792199999923
NED,451,16191.85397
NED,452,15719.274580000001
NED,453,11491.075599999998
NED,454,9825.678679999999
NED,455,7585.17867
NED,456,6140.10443
NED,457,4749.406480000001
NED,458,3951.8054500000007
NED,459,2843.0734899999998
NED,460,1337.2961699999996
NED,461,188.27657999999974
NED,462,58.119880000000194
NED,463,1383.9126799999995
NED,464,3820.7611599999964
NED,465,5400.654989999995
NED,466,5176.012729999977
NED,467,5363.378709999972
NED,468,3189.1158199999472
NED,469,254.47560999992857
NED,472,421.3529299999791
NED,535,1053.05804
NED,536,2440.642610000001
NED,537,2154.7209699999858
NED,538,351.3034499999576
NED,539,151.39623999995456
NED,839,1409.9145400000016
NED,840,925.1977800000004
NED,975,128.13318999998774
NED,976,2663.8968699999896
NED,977,4946.56271
NED,978,6749.984970000001
NED,979,7990.8533
NED,980,7178.433519999999
NED,981,3996.5529499999993
NED,998,974.2898799999784
NED,999,4927.478649999979
NED,1000,7899.490209999981
NED,1001,11771.181139999995
NED,1002,13429.764729999999
BEL,1003,83.82328199999938
NED,1003,12505.021490000001
NED,1004,12020.590409999999
NED,1005,10519.330219999998
NED,1006,9608.79753
NED,1007,8551.94688
NED,1008,8382.41419
NED,1009,7602.381299999999
NED,1010,7095.21162
NED,1011,6857.939259999999
NED,1012,6028.95076
NED,1013,4904.64612
NED,1014,3893.18869
NED,1015,3577.825419999999
NED,1016,5099.728799999999
NED,1017,4818.96794999998
NED,1018,3358.7853699999605
NED,1019,1034.6238399999438
NED,1216,2536.7791799999886
NED,1217,1929.579179999997
NED,1218,3181.0356699999993
NED,1219,5230.178779999997
NED,1220,5580.620410000001
NED,1221,6100.821540000001
NED,1222,1967.36175
BEL,1339,28.124822000001586
NED,1339,3251.931699999999
NED,1340,4676.5432699999965
NED,1341,2662.5148800000006
NED,1615,4288.128940000001
NED,1616,6099.26479999997
NED,1662,1689.9415200000003
NED,1663,2402.9038599999985
NED,1804,46.010630000000674
NED,1805,2922.0696800000014
NED,1806,3371.542910000001
NED,1807,1461.7380099999882
NED,1885,265.5890699999336
NED,1986,2955.6042799999886
NED,1987,1372.2463200000002
NED,1988,58.12634999999864
NED,2331,161.35584000000017
NED,2332,1792.4852
NED,2333,3006.76018
NED,2334,4878.2582
NED,2335,4580.81681999998
NED,2336,3857.5466199999532
NED,2337,3141.1534599999313
NED,2338,945.471209999906
NED,2378,980.5298700000003
NED,2379,4006.5860700000003
NED,2380,5796.73271
NED,2381,9255.76113
NED,2382,9448.468619999998
NED,2383,5538.860069999956
NED,2393,2.618119999911869
NED,2394,4837.822299999972
NED,2395,2363.094129999999
NED,2467,3553.5845799999975
NED,2468,5266.804549999999
NED,2469,2157.6303599999974
NED,2693,2000.8232399999997
NED,2694,4028.4841699999934
NED,2695,4445.0532099999655
NED,2696,1363.251199999926
NED,2710,1412.912910000001
NED,2711,3750.88846
NED,2712,4386.422730000001
NED,2713,3498.48715
NED,2714,2917.07722
NED,2715,2189.6825899999985
NED,2716,948.6507899999997
NED,2807,2396.480589999999
NED,2808,3058.831119999999
NED,2908,626.4593599999989
NED,2909,2360.2637099999997
NED,2970,1251.3281699999666
NED,3434,140.2485199999992
NED,3435,1198.0490500000005
NED,3436,1043.7679199999993
NED,3692,3049.7670099999978
NED,3693,5834.9816
NED,3694,7061.806710000001
NED,3695,6546.073150000001
NED,3696,3390.9270700000006
NED,3945,333.828869999923
NED,4003,1739.3307199999763
NED,4004,6386.1578599999975
NED,4005,8714.93246
NED,4006,9247.10977
NED,4007,6274.14943
NED,4008,814.1148799999974
NED,4099,1574.3816499999896
NED,4100,4609.738609999999
NED,4101,5632.40947
NED,4102,2413.29558
NED,4220,728.9191999999971
NED,4221,997.8995599999998
NED,4222,1584.400599999999
NED,4223,2243.26807
NED,4224,424.9494500000019
NED,4269,470.99658999999883
NED,4270,1049.77016
NED,4315,81.78425999997398
NED,4316,1952.2771599999965
NED,4317,3009.598540000001
NED,4318,4244.2731300000005
NED,4319,4803.33145
NED,4320,4368.253499999999
NED,4321,3140.452190000001
NED,4322,1748.812899999999
NED,4323,242.89833999999973
NED,4444,4131.2187
NED,4445,8971.850919999997
NED,4446,3090.64980999997
NED,4484,4213.4595599999975
NED,4485,9260.21948
NED,4486,6938.1393
NED,4487,1277.8144500000017
NED,4578,4597.220549999925
NED,4579,6744.089509999976
NED,4677,985.5268599999999
NED,4678,4157.774910000001
NED,4679,5567.5472500000005
NED,4680,6643.13882
NED,4681,7221.51914
NED,4682,4757.066089999999
NED,4773,708.7863399999987
NED,4774,2804.24399
NED,4775,494.39594999999827
NED,4803,555.4232499999998
NED,4804,1894.1142199999995
NED,4805,2254.1012199999973
NED,4892,2930.6613299999995
NED,4893,7235.3704
NED,4894,11742.40715
NED,4895,9256.57043
NED,4896,5865.3993
NED,4897,2142.0773499999996
NED,5082,2224.8726499999366
NED,5083,734.1997999999821
NED,5107,446.9917299999829
NED,5108,1334.707249999999
NED,5157,1745.8164499999984
NED,5158,7660.929689999999
NED,5159,6352.34841
NED,5160,221.93559000000096
NED,5165,5242.29774
NED,5166,4720.361529999999
NED,5167,7255.958669999994
NED,5237,1497.1925700000002
NED,5238,1580.7621399999887
NED,5297,3330.265829999943
NED,5298,4142.401769999966
NED,5299,4716.671039999987
NED,5300,4446.08062
NED,5301,3212.4879300000002
NED,5302,2672.457339999999
NED,5303,1680.1617600000009
NED,5426,155.5035599999992
NED,5427,2962.74996
NED,5428,2800.7746100000013
NED,5429,1518.189370000001
NED,5539,2141.1501599999933
NED,5540,383.0193799999979
NED,5563,1233.5839699999967
NED,5564,1859.241329999999
NED,5777,207.68198999990818
NED,5778,1869.4361999999678
NED,5824,1525.8534699999555
NED,5825,621.6146699999736
NED,6262,420.925580000001
NED,6263,1778.9130999999998
NED,6264,3673.403010000001
NED,6265,1870.9919799999989
NED,6350,1587.0458399999297
NED,6351,3815.5464999999385
NED,6352,3023.4466599999637
NED,6353,1804.7484599999843
NED,6617,1153.5288199999713
NED,6618,5066.046440000001
NED,6619,4445.159640000001
NED,6620,3468.7333099999996
NED,6621,3112.2673699999996
NED,6622,2161.1486299999997
NED,6623,1264.0892399999993
NED,6643,175.44644000000153
NED,6644,3160.3201200000003
NED,6645,3118.2739600000004
NED,6646,2253.249740000001
NED,6738,2817.346670000001
NED,6739,4013.032360000001
NED,6740,6301.010419999999
NED,6741,7857.203790000002
NED,6742,7976.59602
NED,6743,8151.08604
NED,6744,7988.09366
NED,6745,8100.459519999999
NED,6746,9958.11442
NED,6747,9692.82318
NED,6748,9575.6946
NED,6749,9711.84406
NED,6750,10067.2342
NED,6751,7391.949689999996
NED,6752,1516.548759999945
NED,6948,1735.6399699999756
NED,6949,2721.934469999972
NED,6950,2269.8157699999665
NED,6960,258.8551299999981
NED,6961,2742.38364
NED,6962,5226.875899999999
NED,6963,9074.14401
NED,6964,8957.01543
NED,6965,6513.71763
NED,6966,4837.448399999999
NED,6967,3253.831929999999
NED,6972,207.74642999996377
NED,7027,2649.162040000001
NED,7028,8328.721410000002
NED,7029,11674.3829
NED,7030,7390.82239
NED,7144,5215.06945999997
NED,7145,11367.314549999997
NED,7146,12717.14322
NED,7147,8414.207
NED,7148,1001.278409999999
NED,7312,273.8941499999669
NED,7313,3464.8817199999994
NED,7314,3243.7442499999997
NED,7315,2318.9327699999994
NED,7316,803.3420300000016
NED,7832,2218.821800000001
NED,7833,2922.391799999954
NED,7912,294.9875899999944
NED,7913,2320.0745100000004
BEL,7914,439.61475099999916
NED,7914,3498.3476800000026
BEL,7915,353.1501960000005
NED,7915,232.6623899999995
NED,8357,1134.1847499999985
NED,8358,1975.4733599999981
NED,8359,888.4396400000023
